[2021-03-05 15:34] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:34] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:37] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:40] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:45] Ingreso de Usuario Yucsan id=3
[2021-03-05 15:47] Ingreso de Usuario Yucsan id=3
[2021-03-05 16:06] Ingreso de Usuario Yucsan id=3
[2021-03-05 16:43] Ingreso de Usuario Yucsan id=3
[2021-03-05 16:44] Ingreso de Usuario Yucsan id=3
[2021-03-05 16:52] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:04] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:09] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:10] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:11] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:26] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:27] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:29] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:31] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:35] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:39] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:40] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:42] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:43] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:46] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:47] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:49] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:54] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:54] Ingreso de Usuario Yucsan id=3
[2021-03-05 17:56] Ingreso de Usuario Yucsan id=3
[2021-03-05 18:02] Ingreso de Usuario Yucsan id=3
[2021-03-05 18:27] Ingreso de Usuario Yucsan id=3
[2021-03-05 18:50] Ingreso de Usuario Yucsan id=3
[2021-03-05 18:50] Ingreso de Usuario Yucsan id=3
[2021-03-05 18:55] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:11] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:11] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:14] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:16] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:25] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:25] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:30] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:31] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:34] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:35] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:36] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:37] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:43] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:46] Ingreso de Usuario Yucsan id=3
[2021-03-05 19:54] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:14] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:15] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:15] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:24] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:26] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:27] Ingreso de Usuario Yucsan id=3
[2021-03-05 20:28] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:41] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:45] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:47] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:55] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:58] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:58] Ingreso de Usuario Yucsan id=3
[2021-03-06 06:58] Ingreso de Usuario Yucsan id=3
[2021-03-06 08:44] Ingreso de Usuario Yucsan id=3
[2021-03-06 08:44] Ingreso de Usuario Yucsan id=3
[2021-03-06 08:46] Ingreso de Usuario Yucsan id=3
[2021-03-06 08:48] Ingreso de Usuario Yucsan id=3
[2021-03-06 08:56] Ingreso de Usuario Yucsan id=3
[2021-03-06 08:56] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:01] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:04] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:08] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:08] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:11] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:12] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:19] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:19] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:22] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:25] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:43] Ingreso de Usuario Yucsan id=3
[2021-03-06 09:59] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:00] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:00] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:01] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:03] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:10] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:12] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:15] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:17] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:19] Ingreso de Usuario Yucsan id=3
